1900,4.3
1901,3.3
1902,6.6
1903,3.3
1904,5.0
1905,6.8
1906,4.5
1907,3.2
1908,4.6
1909,3.6
1910,3.0
1911,4.2
1912,4.4
1913,4.8
1914,5.1
1915,5.3
1916,6.2
1917,2.9
1918,4.4
1919,4.8
1920,5.6
1921,4.9
1922,3.7
1923,5.9
1924,4.3
1925,5.6
1926,3.7
1927,5.8
1928,4.8
1929,8.4
1930,5.3
1931,5.7
1932,5.7
1933,5.5
1934,5.8
1935,5.1
1936,6.9
1937,4.5
1938,5.1
1939,4.8
1940,6.6
1941,6.6
1942,4.4
1943,5.3
1944,4.1
1945,4.2
1946,4.8
1947,3.8
1948,8.5
1949,6.4
1950,5.0
1951,7.2
1952,5.9
1953,7.1
1954,6.6
1955,6.8
1956,4.3
1957,7.0
1958,7.1
1959,6.7
1960,5.8
1961,6.6
1962,6.6
1963,6.7
1964,6.2
1965,5.8
1966,4.7
1967,4.6
1968,9.0
1969,5.7
1970,6.2
1971,7.4
1972,7.7
1973,4.3
1974,6.6
1975,6.3
1976,6.0
1977,8.0
1978,7.5
1979,7.6
1980,5.1
1981,5.8
1982,7.0
1983,5.1
1984,6.6
1985,5.4
1986,7.6
1987,7.0
1988,5.9
1989,7.0
1990,7.7
1991,8.4
1992,8.1
1993,7.1
1994,7.7
1995,5.3
1996,7.1
1997,7.9
1998,8.3
1999,6.9
2000,7.2
2001,6.5
2002,6.9
2003,7.2
2004,8.6
2005,3.9
2006,7.6
2007,7.7
2008,7.6
2009,7.2
2010,7.5
2011,6.5
2012,5.4
2013,6.3
2014,5.5
2015,9.0
2016,8.2
2017,5.6
2018,8.2
2019,8.3
2020,7.2
2021,7.4
2022,6.4
2023,8.2
